raw_text,label
"සෑම දිනකම මා තුල ඇති ජීවය වැලි මෙන් හැලී යනවා වගේ දැනෙනවා, සෑම දවසකම මට හුස්ම ගන්න බැරි වගේ දැනෙනවා, මම හිඳගෙන වටපිට බලාගෙන ඉන්නවා මොකද කවුරුත් නොදැක්කත්, මගේ පෙනහලු මා තුල වමනය කරනවා වගේ දැනෙනවා. සෑම දිනකම මට මැරෙන්න ඕනෙ වෙනවා, ඒ අතරම මැරෙන්න බය නිසා භීතිකා ප්‍රහාරයක් එනවා. ඊට පස්සේ මම එතන වාඩි වෙලා ඉන්නවා, කාටවත් කරදර නොකර, මොකද කාටවත් මා දිහා බලලා මගේ බඩවැල් නිශ්ශබ්දව කැරකෙනවා කියලා කියන්න බෑ, කාටවත් මා දිහා බලලා මගේ හෘදය වේගයෙන් ගැහෙනවා කියලා හා මම හුස්ම ගන්නේ නැති බව දැනගන්න බෑ. සහ නිසැකවම කාටවත් දන්නේ නෑ සෑම දවසකම මම මගේ ජීවිතය ගෙවන්න උත්සාහ කරද්දී මම මාව මිනී වලක දකිනවා කිසිම ශාරීරික සංවේදනාවක් නොදැනී, අනාගතය දකින්නා වගේ, පරණ මම ඇඳේ වාඩි වෙලා මැරිලා සෙමින් දිරාපත් වෙනවා වගේ, පැය ගණනාවක් තිස්සේ කවුරුත් මාව හොයලා බලලා නෑ ඇයි මම මෙහෙම වෙලා තියෙන්නේ, මට අවුරුදු 14යි, මම ජීවිතය විඳින්න ඕනෙ, ඒත් මම මේ හැමදේම අප්‍රිය කරනවා, සහ මම මේ භයානක කනස්සල්ල එක්ක ජීවත් වෙනවා කිසිවක් ගැනත් සියල්ල ගැනත් එකවර, ජීවත් නොවී මැරෙන්න අකමැති නිසා, ඒක මට මැරෙන්න හිතෙන්න හේතු වෙනවා නරකම දේ තමයි මට කනස්සල්ලේ ආබාධයක් තියෙනවා කියලා හඳුනාගෙන නැති එක මොකද මම කාත් එක්කවත් ඒ ගැන කතා කරන්න බයයි, ඒ නිසා කවුරුත් කවදාවත් දැනගන්නේ නෑ, මොකද මම මිනිස්සු ගැන හොඳටම දන්නේ නැති නිසා මේව කියන්න බෑ. මට ඔන්ලයින් වල ඉන්න නොදන්න අය එක්ක බෙදාගන්න කමක් නෑ ඔබට හොඳ දවසක් වේවා, සහ ඔබේ කනස්සල්ල සනීප වේවා මොකද මම කාටවත් මේ විදිහට දුක් විඳින්න සිද්ධ වෙන එක කැමති නැති නිසා",Anxiety
"ආයුබෝවන්, මගේ මුළු ජීවිත කාලය පුරාම මම කනස්සල්ල සහ භීතිකා ප්‍රහාර වලින් පීඩා විඳිනවා, සහ මම ලොරසපැම්, ප්‍රෙගැබ්ලින් වැනි විශාල බෙහෙත් ප්‍රමාණයක් ගත්තත්, මට මැග්නීසියම් ගැන දැනගන්න ලැබුණා, ඒ නිසා මම ඒක ඔබත් එක්ක බෙදාගන්න කැමතියි. මැග්නීසියම් වලින් විෂ වීමට පුළුවන් නිසා එය වැඩිපුර ගැනීමෙන් වැළකීම වැදගත්. මැග්නීසියම් ගන්න පටන් ගත්තට පස්සේ මට අවශ්‍ය ලොරසපැම් ප්‍රමාණය අඩු කරගන්න පුළුවන් වුණා සහ නින්ද සඳහාත් ගොඩක් උදව් වුණා.",Anxiety
"මෑතකදී මට තිබෙන්නේ මගේ ආහාර වල LSD හෝ වෙනත් මනෝවිකාර ඖෂධ මිශ්‍ර කර ඇතැයි කියන අතිශයින්ම අයුක්ති සහගත බියකි. මම දැනටමත් විවෘත කර ඇති දෙයක් කන්නේ නැහැ, ඒක මගේම වුණත්, මේක නිසා ආහාර නාස්ති වීමට පමණක් නොවෙයි, මම එතැනම හදන දේ හැර වෙන මොකුත් කන එක මග හරිනවා, ඒත් ඒකටත් ගොඩක් උත්සාහයක් ගන්න ඕනේ. මේක නිසා මට හඳුනා නොගත් මානසික රෝගයක් ගැන බියක් ඇති වෙලා තියෙනවා, සහ දැනට මට වෛද්‍යවරයෙක් ළඟට ගිහින් ඒක හරිද කියලා බලන්න මුදල් වියදම් කරන්න බැහැ. මීට මාස කිහිපයකට කලින් මගේ යාළුවා ගත්ත කැනබිස් වල PCP මිශ්‍ර වෙලා තිබ්බ එක පාරක් විතරයි මාව තාක්ෂණිකව ""මත්"" කරලා තියෙන්නේ, නමුත් මේ බය මට තිබුණේ මම පහළොස් වියේ ඉඳලා (දැන් විසිතුනයි). මම ඇසිඩ් දෙපාරක් විතරයි කරලා තියෙන්නේ සහ ඒක එන්ජොයි කළත්, ඒක ආයෙත් කරන එකක් නැහැ, සහ මම කැනබිස් හෝ මත්පැන් කලාතුරකින් විතරයි පාවිච්චි කරන්නේ, නමුත් අවුරුදු කිහිපයක් දෙකම ගොඩක් කළා. පැහැදිලිවම කවුරුවත් හොඳ ඇසිඩ් මා වෙනුවෙන් නාස්ති කරන්නේ නැහැ නමුත් බය නිතරම තියෙනවා, මම වැඩට යන ගමන් මගේ ගෙටරේඩ් එකට විහිළුවට මොකක්හරි දාන්න ගියා වගේ රඟපෑමක් කරපු මගේ සහෝදරයට (මේ බය ගැන දන්නේ නැති) කෑගැහුවා සහ ඒක පිරිලා තිබ්බත් විසි කළා, සහ නත්තලට මගේ අම්මා ගෙනාපු කුකීස් කන්නත් මඟ හැරියා, ඒක මට නරක හැඟීමක් ඇති කළා මොකද මගේ අම්මා කවදාවත් මට එහෙම දෙයක් කරන්නේ නැති නිසා. මේ දිග පෝස්ට් එකට සමාවෙන්න, නමුත් මට දැනගන්න ඕනේ මේක තව ලොකු ලෙඩක් වෙන්න පුළුවන්ද කියලා, නැත්නම් අඩුම තරමින් මට මේක එක්ක කොහොමද ගනුදෙනු කරන්න පුළුවන්ද කියලා.",Anxiety
"මට ""හදිසි රෝගය"" තියෙනවා සහ එය මගේ කනස්සල්ල සහ BPD එක්ක සම්බන්ධයි. එය මට ගොඩක් කනස්සල්ල ඇති කරනවා මොකද මට හැමවෙලේම දැනෙනවා එකම වේලාවේ හෝ කෙටි කාලයක් තුල දේවල් ගොඩක් කරන්න ඕනේ කියලා. මම කෝපි බොන්නේ මිනිත්තු 5කින් විතර, ඊට පස්සේ පැයක් පොතක් කියවනවා, ඊට පස්සේ සංගීතය අහනවා සහ විශේෂ හේතුවක් නැතිව වෙබ් අඩවි බලනවා. හැමදේම ඉතා ඉක්මනින් කරන්න ඕනේ, සහ හොඳට සැලසුම් කරලා, එහෙම නැත්නම් මම අධෛර්යමත් වෙනවා, කේන්ති යනවා, සහ කනස්සල්ලට පත් වෙනවා. මේක ගොඩක් වෙහෙසකරයි සහ මම තේරුම් ගත්තා මේක දැන් අවුරුදු දෙකක් තිස්සේ තියෙන ප්‍රශ්නයක් කියලා. මම මේකට කලින් එච්චර අවධානයක් යොමු කලේ නැහැ, මොකද මම දැනගෙන හිටියේ නැහැ මේ තත්වයට නමක් තියෙනවා කියලා.",Anxiety
"මම දැනට මානසික සෞඛ්‍ය රෝහලක බාහිර රෝගියෙක් විදිහට දැඩි සත්කාර සැලැස්මක් යටතේ ඉන්නවා. හෙදියන්ගෙන් කෙනෙක් අතිරේක දීමනාවක් ඉල්ලන්න යෝජනා කළා. ""පහසුකම් ඇති"" (නමුත් පොහොසත් නොවන) දෙමාපියන් මගේ ණය මුදල කුලියටත් මදි නිසා විශ්වවිද්‍යාලයේ ඉන්න කාලේ මාව සම්පූර්ණයෙන්ම නඩත්තු කරනවා. මම සති ගණනක් තිස්සේ ඉල්ලන්න හිතමින් හිටියා, මට සහ මගේ දෙමාපියන්ට අතීතයේ ඇත්තටම කියනවා නම් ආතති සහගත සම්බන්ධතාවයක් තිබුණා, සමහර ඒවා ඇත්තටම ඔවුන්ගේ වරද, සමහර ඒවා අපි දෙගොල්ලන්ගේම වරද මිශ්‍රයක්. කොහොම හරි, ඒක අපි අතර හිඩැසක් ඇති කළා, මම ඒක පන්නන්න තරම් ධෛර්යවත් වෙලා නැහැ. නමුත් ඊයේ රෑ මම ඔවුන්ගෙන් ඇහුවා, මම දැනට ලැබෙන දීමනාවෙන් අමාරුවේ වැටිලා නැහැ කිව්වා, ඒක මේ කාලේ ගෙවාගන්න සතියකට අමතර හොඳ දෙයක් සඳහා පමණයි කියලා. මගේ මතයට අනුව ඔවුන් මේක ගොඩක් විශාල කරලා, අද දුරකථන ඇමතුමක් අරන් මගේ සියලු වියදම් ලියාගන්න ඕනේ කියලා, දැන් ඔවුන් අද මාව බලන්න එන්න හදනවා. මේක මගේ කනස්සල්ල පිස්සු වට්ටන මට්ටමකට ගෙනල්ලා තියෙනවා මේක තමයි මම මගේ දෙමව්පියන්ට විවෘත නොවන හෝ කිසිම දෙයක් නොඉල්ලන හේතුව. මම මොකද කරන්නේ? ඔවුන් එන එකට එකපාරටම නැහැ කියනවද? මම දැනට තියෙන දීමනාව තියාගන්න 100% කැමතියි, මට ඕනේ මගේ දෙමව්පියන් එක්ක මේ සංවාදය අවසන් කරගන්න ඔව් හෝ නැහැ කියන පිළිතුරක් විතරයි.",Anxiety
"මගේ අසල්වැසියන් කරදරකාරී අය වුණා, නිවාස අධිකාරිය අවුරුදු ගණනක් ඒක නොසලකා හැරියා, දැන් අවසානයේ දේවල් සිදු වෙමින් පවතිනවා නමුත් මම බය වෙලා ඉන්නේ මොකද ඔවුන් කලින් වැරදියට කියපු දේවල් ගැන කතා නොකරපු නිවාස නිලධාරියා සහ ප්‍රජා නිලධාරියා මේ සාකච්ඡාවට එනවා, එතැනදී අපි ඔවුන්ගේ අසාර්ථක වීම් ගැන කතා කරන්න යනවා. අසාධාරණකම් සහ බොරු කීම මගේ කනස්සල්ල සහ චිත්තවේග පාලනය අවුස්සනවා, ඒ නිසා මම මේ රැස්වීමේදී සැහැල්ලු වෙන්න මොනවද කරන්න පුළුවන් කියලා කල්පනා කරනවා? දැනට මට හිතෙන්නේ එක කනකට සංගීතය සහ කැමොමයිල් තේ විතරයි.",Anxiety
"මගේ පෙම්වතිය සහ මම අද උදේ දරුණු රණ්ඩුවකට පැටලුනා. මම විස්තර වලට යන්න කැමති නැහැ නමුත් ඇය මට යන්න කියන තැනට ඇවිත්. මම බයෙන් ඉන්නේ. මම මත්පැන්වලට ඇබ්බැහි වුණු කෙනෙක් නමුත් අවුරුදු 3ක් පිරිසිදුව ඉන්නවා, මේකෙන් දැන් මට දැනෙන කනස්සල්ල මම බීපු කාලේ තිබුණු එකම එක. එය මාව කලබල කරනවා නමුත් මේක මම විසඳගන්න ඕන දෙයක්. මට නිදාගන්න විතරයි ඕනේ. මට දැනෙනවා මම අසරණ වෙලා වගේ. කරන්න දේවල් ගොඩක් තියෙනවා. නමුත් මට ඕනේ මේක පහු කරලා ඉස්සරහට යන්න විතරයි. අපි දෙන්නම එකිනෙකාට පැන්නා නමුත් ඒක වැඩිපුර වුණේ මම දවස නරක විදිහට පටන් ගත්ත නිසා. මම දවස නරක විදිහට පටන් ගත්තේ නැත්නම් මේ තත්වයට එන්නේ නැහැ. නැත්නම් අඩුම තරමේ දවස හොඳ වෙනකන් ඒක යටපත් කරගන්නවා. මම ඇතුළතින්ම කැඩිලා. මට දැනෙනවා මම හැමදේම අවුල් කරගත්තා කියලා. ඇත්තටම එහෙමයි.",Anxiety
"අද තමයි මගේ සියලු කනස්සලු ඇත්ත තත්වයන් බවට පත්වුණු දවස, අපි පටන් ගමු පළමුවෙන්ම, මගේ ආච්චිගේ සහෝදරියගේ උපන්දිනය, මම සම්පූර්ණයෙන්ම අමතක කළා. ඊට පස්සේ මම එනවා කිව්වා, නමුත් තෑග්ග අමතක වුණා සහ නිදිමතට ප්‍රමාද වුණා, ඊට පස්සේ යන්න බය හිතුණා, කතා කරලා කිව්වා මම අසනීප බව, ඊට පස්සේ මගේ සහ සේවකයෙක්ගෙන් පණිවිඩයක් ආවා හා ඔයා කොහෙද උත්සවය පටන් ගන්නවා කියලා, මම මේක සම්පූර්ණයෙන්ම අමතක කළා ඊට පස්සේ මගේ ශිෂ්‍යාව එක්ක අවුල් වුණා, අපේ පාඩම 3-5 පාරක් කල් දාලා (මොකද මම හිතුවා මම සමහර විට උපන්දිනයට යයි කියලා) අවසානයේ ඇයටත් කිව්වා මම ලෙඩ කියලා මොකද මේ වෙලාවේ මම අඬමින් හිටියේ මේ තත්වය කොච්චර වගකීම් විරහිත සහ මෝඩද කියලා, සහ උත්සවයට නොගිහින් ඇය එක්ක පාඩම කරන එක ගොඩක් විකාර වෙයි, සහ උත්සවය තවම යනවා, මම සමහර විට එතනට යන්න ඕනේ, නමුත් දැන් ඒක ගොඩක් බරපතලයි, මම උපන්දින සාදයටත් එම හේතුව නිසාම යන්නේ නැහැ, මට දැනටමත් ගොඩක් ස්ට්‍රෙස්, මට නැතිවෙලා යන්න ඕනේ, මම හැමදේම මතක තියාගන්න තරම් උත්සාහ කරනවා නමුත් මේක වෙනවා.. මේක ගොඩක් ගොඩක් මෝඩයි සහ මම කියන්නේ මම කිසි වැඩක් නැති කෙනෙක්, කවුද අවුරුදු 20දී මතක තියාගන්න බැරි ප්‍රශ්න එක්ක ජීවත් වෙන්නේ, මේක දැන් මොකක්හරි ආබාධයක් වගේ (මට දේවල් ගොඩක් අමතක වෙනවා) මගේ අම්මා මත්පැන්වලට ඇබ්බැහි වුණු කෙනෙක් එක්ක යාළු වෙලා සහ පසුගිය සති කිහිපය අනතුරුදායකයි. මම මේ තත්වය නිසා ගොඩක් කල් සාමාන්‍ය විදිහට නිදාගත්තේ නැහැ සහ ඊයේ රෑ විනාශයක් වුණා තවත් ගොඩක් ප්‍රශ්න මූල්‍යමය, ඉගෙනගන්න එක්ක සහ අන්තිමට දැන් මට දැනෙනවා මට තියෙන කනස්සල්ලේ මට්ටම නිසා ඇත්තටම වමනේ යන්න වගේ",Anxiety
"මට ප්‍රශ්නයක් තියෙනවා, මම පොදු තැන්වල ඉන්න කොට මට දැනෙනවා හැමෝම මාව බලනවා වගේ, නමුත් ඊට පස්සේ මට දැනෙන්න පටන් ගන්නවා මම හීනයක ඉන්නවා වගේ, පැහැදිලි හීනයක වගේ. මට පුළුවන් නමුත් මට දැනෙනවා මට අදහස් හිතන්න බැරි වගේ සහ මම කරන්න ඕනේ දේ විතරක් කරන්න පුළුවන් වගේ. මට දැනෙනවා මගේ ඔලුව පොදු තැන්වල මැදිලා වගේත් lol. ඇත්තටම මම සතුටු කෙනෙක් නෙවෙයි සහ සමහර විට අවුරුද්දකට කලින් ඉඳන් මම දේවල් ගැන තැකීම නවත්තලා සහ මම යමක් ගැන හිතනවා සහ ඒක ටිකක් සංකීර්ණ වෙනකොට මම ඒ ගැන හිතන එක නවත්තනවා, මට මොකක්වත් ගැන හිතන්න තරම් තැකීමක් නැහැ මොකක්හරි හේතුවක් නිසා. කවුරු හරි කියන්න පුළුවන්ද මේක කනස්සල්ලද නැත්නම් මට මොකක්හරි ප්‍රශ්නයක් තියෙනවද කියලා.",Anxiety
මම කනස්සල්ලට ප්‍රොප්‍රනලෝල් පාවිච්චි කළා නමුත් අතුරු ආබාධ ගොඩක් තිබුණු නිසා සති 3කින් නැවැත්තුවා. මම මාත්‍රාව අඩු කරන්න පටන් අරගෙන නවත්වන දවසේ මගේ වාඩි වෙන ප්‍රදේශය වටා අධික දහඩිය දැමීමක් අත්විඳලා තියෙනවා. ඒ කියන්නේ සාමාන්‍යයට වඩා ගොඩක් වැඩියෙන්. මේක බීටා බ්ලොකර්ස් එක්ක සම්බන්ධද සහ කාට හරි මේ වගේ අත්දැකීමක් තියෙනවද?,Anxiety
